name,link,sub,memory_load,day,annotation_file_name,annotation_file_link
suj16_l2nap_day2.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj16_l2nap_day2.vhdr,16,2,2,suj16_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcd96c613b01fb7f10ad
suj17_l5nap_day1.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj17_l5nap_day1.eeg,17,5,1,suj17_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcdc6c613b01f77f10a3
suj17_l5nap_day1.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj17_l5nap_day1.vmrk,17,5,1,suj17_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcdc6c613b01f77f10a3
suj17_l5nap_day1.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj17_l5nap_day1.vhdr,17,5,1,suj17_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcdc6c613b01f77f10a3
suj17_l2nap_day2.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj17_l2nap_day2.eeg,17,2,2,suj17_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcde594d9001f9db72c5
suj17_l2nap_day2.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj17_l2nap_day2.vmrk,17,2,2,suj17_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcde594d9001f9db72c5
suj17_l2nap_day2.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj17_l2nap_day2.vhdr,17,2,2,suj17_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcde594d9001f9db72c5
suj18_l2nap_day1.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj18_l2nap_day1.eeg,18,2,1,suj18_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcdf9ad5a101f812a67e
suj18_l2nap_day1.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj18_l2nap_day1.vmrk,18,2,1,suj18_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcdf9ad5a101f812a67e
suj18_l2nap_day1.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj18_l2nap_day1.vhdr,18,2,1,suj18_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcdf9ad5a101f812a67e
suj18_l5nap_day2.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj18_l5nap_day2.eeg,18,5,2,suj18_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bce0594d9001f8db72c2
suj18_l5nap_day2.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj18_l5nap_day2.vmrk,18,5,2,suj18_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bce0594d9001f8db72c2
suj18_l5nap_day2.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj18_l5nap_day2.vhdr,18,5,2,suj18_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bce0594d9001f8db72c2
suj19_l2nap_day1.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj19_l2nap_day1.eeg,19,2,1,suj19_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bce4b83f6901fcf46487
suj19_l2nap_day1.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj19_l2nap_day1.vmrk,19,2,1,suj19_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bce4b83f6901fcf46487
suj19_l2nap_day1.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj19_l2nap_day1.vhdr,19,2,1,suj19_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bce4b83f6901fcf46487
suj19_l5nap_day2.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj19_l5nap_day2.eeg,19,5,2,suj19_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/5ee09e9942fefb00300ced51
suj19_l5nap_day2.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj19_l5nap_day2.vmrk,19,5,2,suj19_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/5ee09e9942fefb00300ced51
suj19_l5nap_day2.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj19_l5nap_day2.vhdr,19,5,2,suj19_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/5ee09e9942fefb00300ced51
suj20_l5nap_day1.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj20_l5nap_day1.eeg,20,5,1,suj20_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bce79ad5a101fe12a65f
suj20_l5nap_day1.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj20_l5nap_day1.vmrk,20,5,1,suj20_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bce79ad5a101fe12a65f
suj20_l5nap_day1.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj20_l5nap_day1.vhdr,20,5,1,suj20_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bce79ad5a101fe12a65f
suj20_l2nap_day2.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj20_l2nap_day2.eeg,20,2,2,suj20_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/5ee09e9a42fefb00350d3254
suj20_l2nap_day2.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj20_l2nap_day2.vhdr,20,2,2,suj20_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/5ee09e9a42fefb00350d3254
suj20_l2nap_day2.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj20_l2nap_day2.vmrk,20,2,2,suj20_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/5ee09e9a42fefb00350d3254
suj21_l2nap_day1.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj21_l2nap_day1.eeg,21,2,1,suj21_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bce8594d9001fadb7392
suj21_l2nap_day1.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj21_l2nap_day1.vmrk,21,2,1,suj21_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bce8594d9001fadb7392
suj21_l2nap_day1.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj21_l2nap_day1.vhdr,21,2,1,suj21_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bce8594d9001fadb7392
suj21_l5nap_day2.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj21_l5nap_day2.eeg,21,5,2,suj21_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcebb83f6901f8f4646a
suj21_l5nap_day2.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj21_l5nap_day2.vmrk,21,5,2,suj21_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcebb83f6901f8f4646a
suj21_l5nap_day2.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj21_l5nap_day2.vhdr,21,5,2,suj21_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcebb83f6901f8f4646a
suj22_l5nap_day1.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj22_l5nap_day1.eeg,22,5,1,suj22_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcec6c613b01f97f10a5
suj22_l5nap_day1.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj22_l5nap_day1.vhdr,22,5,1,suj22_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcec6c613b01f97f10a5
suj22_l5nap_day1.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj22_l5nap_day1.vmrk,22,5,1,suj22_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcec6c613b01f97f10a5
suj22_l2nap_day2.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj22_l2nap_day2.eeg,22,2,2,suj22_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bceeb83f6901fef4646b
suj22_l2nap_day2.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj22_l2nap_day2.vmrk,22,2,2,suj22_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bceeb83f6901fef4646b
suj22_l2nap_day2.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj22_l2nap_day2.vhdr,22,2,2,suj22_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bceeb83f6901fef4646b
suj23_l2nap_day1.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj23_l2nap_day1.eeg,23,2,1,suj23_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcf29ad5a101f812a680
suj23_l2nap_day1.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj23_l2nap_day1.vmrk,23,2,1,suj23_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcf29ad5a101f812a680
suj23_l2nap_day1.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj23_l2nap_day1.vhdr,23,2,1,suj23_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcf29ad5a101f812a680
suj23_l5nap_day2.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj23_l5nap_day2.vmrk,23,5,2,suj23_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcf4594d9001f8db72c4
suj23_l5nap_day2.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj23_l5nap_day2.eeg,23,5,2,suj23_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcf4594d9001f8db72c4
suj23_l5nap_day2.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj23_l5nap_day2.vhdr,23,5,2,suj23_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcf4594d9001f8db72c4
